frame_number,time_seconds,mean_brightness,perceived_luminance,sharpness,normalized_sharpness
0,0.0,141.4734344482422,152.88209533691406,295.7148046598185,49.25972327840418
1,0.03333333333333333,141.51841735839844,152.93650817871094,297.5218373725897,49.56073604470287
2,0.06666666666666667,141.55911254882812,152.97531127929688,298.5879691770952,49.73833066235708
3,0.1,141.58241271972656,152.99696350097656,299.4787644281155,49.88671798308474
4,0.13333333333333333,141.71908569335938,153.08956909179688,323.4154494080641,53.87405463222891
5,0.16666666666666666,141.7294921875,153.0880889892578,326.23829710122334,54.344280315999015
6,0.2,141.72340393066406,153.0955810546875,326.6086858195097,54.405979106457664
7,0.23333333333333334,141.7331085205078,153.10247802734375,326.5941295209827,54.40355434034485
8,0.26666666666666666,141.7351531982422,153.10980224609375,326.58026379075784,54.40124460805155
9,0.3,141.7344970703125,153.11134338378906,326.60143132711477,54.40477066412652
10,0.3333333333333333,141.7261199951172,153.10218811035156,326.4692240481415,54.38274777627987
11,0.36666666666666664,141.72633361816406,153.0982666015625,326.3395785092388,54.361151619205586
12,0.4,141.7242889404297,153.09751892089844,326.2455753254647,54.34549271154512
13,0.43333333333333335,141.72259521484375,153.0940399169922,326.08356192034364,54.318504764449145
14,0.4666666666666667,141.7215576171875,153.0905303955078,326.0853303433621,54.31879934567118
15,0.5,141.59686279296875,152.96009826660156,330.6056529252436,55.071787819713784
16,0.5333333333333333,141.64622497558594,153.01133728027344,330.9153886572733,55.12338312779032
17,0.5666666666666667,141.68028259277344,153.047119140625,331.4500019102543,55.21243819195292
18,0.6,141.70266723632812,153.06883239746094,331.91822383547026,55.290433889515484
19,0.6333333333333333,141.7128448486328,153.08448791503906,332.1829170968876,55.334526091209874
20,0.6666666666666666,141.7181854248047,153.0846710205078,332.44485431656614,55.37815919565495
21,0.7,141.71817016601562,153.08251953125,332.5845519635122,55.401429817628454
22,0.7333333333333333,141.7179412841797,153.09088134765625,332.62147711416037,55.40758075317271
23,0.7666666666666667,141.71592712402344,153.0906524658203,332.5252203440193,55.39154644651608
24,0.8,141.72476196289062,153.09466552734375,332.497564116584,55.386939514130816
25,0.8333333333333334,141.72467041015625,153.0933074951172,332.36842784176457,55.36542818949448
26,0.8666666666666667,141.721435546875,153.0896453857422,332.14270639285917,55.32782785317087
27,0.9,141.7145538330078,153.0939483642578,332.1066893283232,55.32182818523276
28,0.9333333333333333,141.7181854248047,153.09466552734375,332.0307093907716,55.30917156256955
29,0.9666666666666667,141.71929931640625,153.0980682373047,332.02438126008013,55.308117432164785
30,1.0,141.60299682617188,152.97109985351562,331.25112168457593,55.1793090258507
31,1.0333333333333334,141.65206909179688,153.01666259765625,331.6120066478064,55.239424695218425
32,1.0666666666666667,141.6708526611328,153.04525756835938,332.1611168676716,55.330894642118835
33,1.1,141.68484497070312,153.05604553222656,332.54090325400256,55.394158881855134
34,1.1333333333333333,141.6884765625,153.066650390625,332.7286506488229,55.42543355789217
35,1.1666666666666667,141.69888305664062,153.07493591308594,332.71565681921396,55.423269065479964
36,1.2,141.70826721191406,153.07676696777344,332.7195293183748,55.42391414051189
37,1.2333333333333334,141.71005249023438,153.080810546875,332.671546575294,55.41592124800514
38,1.2666666666666666,141.71299743652344,153.07955932617188,332.5480314394396,55.39534628416497
39,1.3,141.70407104492188,153.0769805908203,332.4716300134636,55.382619450599826
40,1.3333333333333333,141.7001953125,153.07249450683594,332.48466482253957,55.38479076930945
41,1.3666666666666667,141.7001190185547,153.0679931640625,332.36450856043854,55.36477532156048
42,1.4,141.6945343017578,153.06837463378906,332.2322497043166,55.34274384207071
43,1.4333333333333333,141.7001190185547,153.0692901611328,332.1416772762198,55.32765642448323
44,1.4666666666666666,141.6965789794922,153.07095336914062,332.11483940933147,55.32318581335566
45,1.5,141.5960693359375,152.95982360839844,328.6740422436503,54.75002304447247
46,1.5333333333333334,141.6470947265625,153.0095977783203,328.2661627121632,54.682079091260206
47,1.5666666666666667,141.69110107421875,153.0591583251953,327.82470774417703,54.60854219280194
48,1.6,141.71153259277344,153.07667541503906,327.67642649896993,54.58384172805963
49,1.6333333333333333,141.72178649902344,153.09097290039062,327.59174671994964,54.56973589901054
50,1.6666666666666667,141.7122344970703,153.08433532714844,328.83664158932385,54.77710859665624
51,1.7,141.706787109375,153.07748413085938,329.45023388922846,54.87931987056873
52,1.7333333333333334,141.7057342529297,153.07679748535156,329.7117727622703,54.92288661903574
53,1.7666666666666666,141.71351623535156,153.08078002929688,329.7942240522199,54.936621229758174
54,1.8,141.71710205078125,153.0874481201172,329.9798369951078,54.967540352032316
55,1.8333333333333333,141.7305450439453,153.09466552734375,329.94138116158314,54.961134437658
56,1.8666666666666667,141.7282257080078,153.0977020263672,329.834775261666,54.943376188672794
57,1.9,141.73568725585938,153.10720825195312,329.80318044227613,54.93811317161834
58,1.9333333333333333,141.73779296875,153.1136016845703,329.7917905965001,54.93621586839825
59,1.9666666666666666,141.73704528808594,153.1128387451172,329.68089553401614,54.91774313722341
60,2.0,141.619873046875,152.98214721679688,328.25285107568857,54.67986165906273
61,2.033333333333333,141.66908264160156,153.0360870361328,328.5888324647196,54.73582892884282
62,2.066666666666667,141.7024383544922,153.07395935058594,329.1836429377597,54.83491155454619
63,2.1,141.72344970703125,153.09605407714844,329.6943127893127,54.91997816324391
64,2.1333333333333333,141.7386474609375,153.11111450195312,330.01861014325584,54.97399912419491
65,2.1666666666666665,141.74925231933594,153.113525390625,330.2507479726949,55.012668291448044
66,2.2,141.758544921875,153.12158203125,330.0733395973207,54.98311587357617
67,2.2333333333333334,141.7591552734375,153.126708984375,330.0064019015895,54.9719654938297
68,2.2666666666666666,141.76148986816406,153.13162231445312,329.8579730826586,54.947240446480485
69,2.3,141.7637939453125,153.1341094970703,329.74140816855993,54.92782324003024
70,2.3333333333333335,141.76681518554688,153.1307830810547,329.7694482951004,54.932494121745705
71,2.3666666666666667,141.7674102783203,153.1320343017578,329.642534234525,54.91135297018491
72,2.4,141.76119995117188,153.1324462890625,329.48046151344056,54.8843551423258
73,2.433333333333333,141.7655029296875,153.13946533203125,329.2643171148607,54.84835013650788
74,2.466666666666667,141.76559448242188,153.14132690429688,329.08765382838027,54.818921834412926
75,2.5,141.65084838867188,153.0226287841797,328.115309124033,54.656950129538465
76,2.533333333333333,141.70126342773438,153.0718231201172,327.6227768131144,54.57490484482763
77,2.566666666666667,141.7360382080078,153.10391235351562,327.347584876386,54.52906378973645
78,2.6,141.74209594726562,153.10943603515625,330.1385435761199,54.99397745338783
79,2.6333333333333333,141.75173950195312,153.1251983642578,331.80743633749825,55.271979076273766
80,2.6666666666666665,141.75961303710938,153.12518310546875,332.4849151230466,55.38483246398796
81,2.7,141.76040649414062,153.12869262695312,332.79452980105236,55.43640760706895
82,2.7333333333333334,141.76173400878906,153.13284301757812,332.8257402580576,55.441606597620805
83,2.7666666666666666,141.75892639160156,153.1313018798828,333.0295461984669,55.47555628180589
84,2.8,141.76116943359375,153.1331024169922,333.066100501093,55.481645442049555
85,2.8333333333333335,141.75949096679688,153.1351776123047,333.02870900838514,55.4754168239529
86,2.8666666666666667,141.75828552246094,153.13084411621094,333.06984905386093,55.4822698702795
87,2.9,141.7469482421875,153.12294006347656,332.94467881931035,55.46141920261088
88,2.933333333333333,141.74615478515625,153.12025451660156,332.8969675879031,55.45347153810657
89,2.966666666666667,141.75299072265625,153.126220703125,332.6422839500814,55.411046724316584
90,3.0,141.64569091796875,153.0105438232422,332.6788228144833,55.41713331288429
91,3.033333333333333,141.6892852783203,153.06304931640625,332.91374227309984,55.45626583970342
92,3.066666666666667,141.7313690185547,153.1001739501953,333.4069873602133,55.538429857590835
93,3.1,141.74473571777344,153.11929321289062,333.93399110983927,55.62621734223544
94,3.1333333333333333,141.75601196289062,153.1321258544922,334.2461487108875,55.67821608157679
95,3.1666666666666665,141.75367736816406,153.1376953125,334.36467349707266,55.6979597605442
96,3.2,141.76348876953125,153.1401824951172,334.27408658576934,55.682869930366174
97,3.2333333333333334,141.77951049804688,153.14797973632812,334.1904590646911,55.66893938484779
98,3.2666666666666666,141.7820281982422,153.14938354492188,333.868398896823,55.615291090957236
99,3.3,141.78842163085938,153.15480041503906,333.63058351414486,55.57567616550381
100,3.3333333333333335,141.78317260742188,153.1562042236328,333.45316019931215,55.546121259039616
101,3.3666666666666667,141.78396606445312,153.153076171875,333.4134370046837,55.539504229576444
102,3.4,141.77059936523438,153.14767456054688,333.39379146894294,55.53623170605379
103,3.433333333333333,141.76589965820312,153.1444091796875,333.2682050362962,55.515311708738075
104,3.466666666666667,141.76473999023438,153.13783264160156,333.3202975261902,55.523989196630545
105,3.5,141.65440368652344,153.0172882080078,332.5925713701078,55.40276567820605
106,3.533333333333333,141.7046356201172,153.0711669921875,331.0367703502707,55.143602705957846
107,3.566666666666667,141.73550415039062,153.10047912597656,331.32510705940285,55.19163339728288
108,3.6,141.7491912841797,153.1234130859375,331.1914872627128,55.16937521437912
109,3.6333333333333333,141.76333618164062,153.13514709472656,330.89520495739225,55.12002095770209
110,3.6666666666666665,141.77232360839844,153.1356201171875,331.8862466236699,55.285107174113755
111,3.7,141.77134704589844,153.1380157470703,332.4013213726744,55.37090754394252
112,3.7333333333333334,141.77073669433594,153.1398468017578,332.7646870135084,55.431436440819894
113,3.7666666666666666,141.76953125,153.14219665527344,332.797405959046,55.43688671310165
114,3.8,141.7692108154297,153.1373291015625,332.9822101658276,55.46767111734282
115,3.8333333333333335,141.77484130859375,153.14352416992188,333.00771218331204,55.471919204704456
116,3.8666666666666667,141.77439880371094,153.1458740234375,333.01871865323085,55.4737526457562
117,3.9,141.7750701904297,153.1417694091797,332.9025139853375,55.454395448572015
118,3.933333333333333,141.77711486816406,153.144775390625,332.85312114156517,55.446167663632544
119,3.966666666666667,141.77369689941406,153.14227294921875,332.9045891190969,55.45474112120369
120,4.0,141.65065002441406,153.01663208007812,332.149214409469,55.328911948698845
121,4.033333333333333,141.6959228515625,153.06344604492188,332.5706770683289,55.3991185586503
122,4.066666666666666,141.72341918945312,153.09165954589844,333.13717253256647,55.49348451316825
123,4.1,141.74179077148438,153.1060028076172,333.61527145423196,55.57312550580654
124,4.133333333333334,141.7449951171875,153.1117706298828,333.9193402438406,55.623776823216744
125,4.166666666666667,141.7411346435547,153.11599731445312,334.05563271448557,55.646480216090914
126,4.2,141.74191284179688,153.11123657226562,334.07357349179455,55.64946876354175
127,4.233333333333333,141.7527618408203,153.1209259033203,333.9282720868004,55.62526467605885
128,4.266666666666667,141.75196838378906,153.11984252929688,333.960478873201,55.630629633648994
129,4.3,141.7412872314453,153.11541748046875,333.9582392917932,55.63025656757767
130,4.333333333333333,141.7478790283203,153.1148223876953,333.80193913728806,55.60422032509684
131,4.366666666666666,141.75608825683594,153.1185760498047,333.8188536839427,55.60703792460304
132,4.4,141.76205444335938,153.12835693359375,333.753164542952,55.59609552720999
133,4.433333333333334,141.7655792236328,153.13381958007812,333.6172270446935,55.57345126509712
134,4.466666666666667,141.7737579345703,153.139404296875,331.194879432798,55.16994027692275
135,4.5,141.65139770507812,153.01321411132812,330.23272714073255,55.00966640861457
136,4.533333333333333,141.70401000976562,153.07412719726562,329.74712866260813,54.928776151245344
137,4.566666666666666,141.74537658691406,153.111572265625,329.4269593938991,54.8754428404664
138,4.6,141.76205444335938,153.12411499023438,329.2602951386795,54.8476801618208
139,4.633333333333334,141.755859375,153.12759399414062,330.24934317045916,55.01243428162404
140,4.666666666666667,141.7569122314453,153.12989807128906,330.8203472222186,55.107551269807544
141,4.7,141.7636260986328,153.14111328125,331.070230032962,55.14917636911027
142,4.733333333333333,141.76678466796875,153.14498901367188,331.17782358185553,55.16709913916277
143,4.766666666666667,141.76710510253906,153.14398193359375,331.35756317314303,55.19703988744279
144,4.8,141.7717742919922,153.14662170410156,331.2984032600193,55.18718511891674
145,4.833333333333333,141.77813720703125,153.14869689941406,331.32776282406184,55.19207579052844
146,4.866666666666666,141.77818298339844,153.14791870117188,331.426189219902,55.20847151014064
147,4.9,141.7722930908203,153.14471435546875,331.34089843219704,55.19426390019234
148,4.933333333333334,141.77293395996094,153.14512634277344,331.33257956957095,55.19287815668375
149,4.966666666666667,141.78050231933594,153.1529083251953,331.1929586043213,55.16962030823083
150,5.0,141.6626739501953,153.03456115722656,330.80454419232734,55.10491882507656
151,5.033333333333333,141.7095489501953,153.08616638183594,331.0643411996811,55.148195416201325
152,5.066666666666666,141.7461700439453,153.12045288085938,331.57718311611825,55.23362384417036
153,5.1,141.7663116455078,153.13650512695312,332.1623408458307,55.33109853054265
154,5.133333333333334,141.7786865234375,153.15017700195312,332.372418473748,55.36609294291267
155,5.166666666666667,141.78125,153.16021728515625,332.51074408720285,55.3891350136299
156,5.2,141.77842712402344,153.1522216796875,332.5802006160104,55.40070497676676
157,5.233333333333333,141.7718505859375,153.14857482910156,332.59310715511,55.40285492845842
158,5.266666666666667,141.771484375,153.14698791503906,332.5989766580566,55.403832661349625
159,5.3,141.77906799316406,153.1504364013672,332.4845871728633,55.38477783454424
160,5.333333333333333,141.78079223632812,153.15396118164062,332.3882117883492,55.3687237692854
161,5.366666666666666,141.78280639648438,153.16256713867188,332.29835983862694,55.353756367891904
162,5.4,141.7841033935547,153.15647888183594,332.33128323424233,55.359240697157276
163,5.433333333333334,141.78343200683594,153.15599060058594,332.4497878016009,55.37898100810324
164,5.466666666666667,141.7830352783203,153.15574645996094,333.6704557165409,55.58231801645473
165,5.5,141.6547393798828,153.0223846435547,332.1976451577489,55.336979469231615
166,5.533333333333333,141.70408630371094,153.06753540039062,331.76642357823147,55.265147233090644
167,5.566666666666666,141.7400360107422,153.10089111328125,331.5621734761356,55.231123561126026
168,5.6,141.75254821777344,153.11752319335938,331.3539510770429,55.19643818995743
169,5.633333333333334,141.75204467773438,153.12400817871094,332.32319974666433,55.3578941620669
170,5.666666666666667,141.7578887939453,153.1249542236328,332.96872732335447,55.46542516590999
171,5.7,141.7648468017578,153.1268768310547,333.34758680510527,55.52853500328832
172,5.733333333333333,141.7629852294922,153.13345336914062,333.40293884825365,55.53775546261406
173,5.766666666666667,141.7596893310547,153.12734985351562,333.5857508667474,55.56820801115429
174,5.8,141.7616729736328,153.12718200683594,333.58099199231935,55.56741528507582
175,5.833333333333333,141.76437377929688,153.13458251953125,333.4474160878875,55.54516441367781
176,5.866666666666666,141.7595672607422,153.1367950439453,333.42299961002135,55.54109715385798
177,5.9,141.77142333984375,153.13856506347656,333.4327507715122,55.54272148753729
178,5.933333333333334,141.77285766601562,153.141845703125,333.42097463301667,55.54075983626237
179,5.966666666666667,141.77098083496094,153.1444549560547,333.23541859387785,55.509850192928376
180,6.0,141.6524658203125,153.02635192871094,331.89411120123003,55.286417243505646
181,6.033333333333333,141.70437622070312,153.07791137695312,332.3025868016251,55.354460488971796
182,6.066666666666666,141.74583435058594,153.1143798828125,332.9081495944774,55.45533421978793
183,6.1,141.7605438232422,153.13490295410156,333.5906341584435,55.569021462472406
184,6.133333333333334,141.77525329589844,153.1438751220703,333.7007706350587,55.58736782956473
185,6.166666666666667,141.78280639648438,153.15188598632812,333.9355391579377,55.626475213737805
186,6.2,141.77444458007812,153.1488037109375,333.92962143127477,55.625489447813145
187,6.233333333333333,141.77252197265625,153.14735412597656,334.04738233022357,55.645105879604266
188,6.266666666666667,141.78091430664062,153.1501922607422,333.9072381359691,55.62176087245797
189,6.3,141.7774658203125,153.14962768554688,333.8601056084002,55.6139096075606
190,6.333333333333333,141.7711639404297,153.14549255371094,333.80439138430194,55.60462881668201
191,6.366666666666666,141.7764892578125,153.15097045898438,333.3278645353974,55.52524969753791
192,6.4,141.77552795410156,153.1522979736328,333.14285779855965,55.49443155614741
193,6.433333333333334,141.77694702148438,153.1491241455078,333.27086612117006,55.515754988216955
194,6.466666666666667,141.78224182128906,153.15310668945312,333.0919020054948,55.48594341748728
195,6.5,141.6657257080078,153.02874755859375,332.92207077903157,55.45765318957923
196,6.533333333333333,141.71337890625,153.0831756591797,332.37520639538656,55.366557350667286
197,6.566666666666666,141.74298095703125,153.11827087402344,332.0132638887548,55.30626551732509
198,6.6,141.76641845703125,153.13766479492188,331.79348041987157,55.26965432069997
199,6.633333333333334,141.77328491210938,153.14454650878906,331.4326625179818,55.20954982230859
200,6.666666666666667,141.7738800048828,153.14427185058594,332.2549112564977,55.34651876903381
201,6.7,141.77734375,153.1473846435547,332.93328414231286,55.459521094613244
202,6.733333333333333,141.77850341796875,153.15110778808594,333.41178481279314,55.539229009959264
203,6.766666666666667,141.78704833984375,153.1588897705078,333.5774913133409,55.56683214728547
204,6.8,141.78750610351562,153.15814208984375,333.5953872491054,55.569813225099885
205,6.833333333333333,141.79110717773438,153.15826416015625,333.7051384003042,55.58809540526924
206,6.866666666666666,141.79568481445312,153.1648712158203,333.6881737055502,55.585269452168774
207,6.9,141.79595947265625,153.16522216796875,333.7043045894854,55.587956510328745
208,6.933333333333334,141.79908752441406,153.16928100585938,333.5462374606371,55.561625927944014
209,6.966666666666667,141.7984161376953,153.1661376953125,333.5269357617455,55.55841068024177
210,7.0,141.684814453125,153.04420471191406,332.2366347848248,55.3434743021254
211,7.033333333333333,141.72366333007812,153.0924530029297,332.5431683184942,55.39453619285988
212,7.066666666666666,141.76307678222656,153.13229370117188,333.16702203293573,55.49845679762955
213,7.1,141.77793884277344,153.1455078125,333.7634166872906,55.597803313851614
214,7.133333333333334,141.78285217285156,153.15415954589844,333.9970355165608,55.63671918380853
215,7.166666666666667,141.79495239257812,153.16583251953125,334.15588484298445,55.663180063478016
216,7.2,141.80726623535156,153.18203735351562,334.2574608966701,55.68010044831308
217,7.233333333333333,141.81845092773438,153.18994140625,334.40845098102415,55.70525214736858
218,7.266666666666667,141.82357788085938,153.19415283203125,334.1337514408798,55.65949311495293
219,7.3,141.82855224609375,153.1978759765625,333.9903751864927,55.63560971613587
220,7.333333333333333,141.83213806152344,153.20399475097656,333.7956037728184,55.60316498970029
221,7.366666666666666,141.83815002441406,153.205322265625,333.86243198447005,55.61429713175498
222,7.4,141.83096313476562,153.19822692871094,333.59734277562455,55.57013897373905
223,7.433333333333334,141.8274688720703,153.19740295410156,333.6435286443073,55.57783254563614
224,7.466666666666667,141.824462890625,153.19284057617188,333.4651991685132,55.54812669225451
225,7.5,141.70359802246094,153.0675811767578,332.081620850251,55.31765231620832
226,7.533333333333333,141.74996948242188,153.12020874023438,331.49433111457836,55.21982248351947
227,7.566666666666666,141.7833251953125,153.15135192871094,331.07920090387273,55.1506707231692
228,7.6,141.80384826660156,153.17506408691406,330.83763599516107,55.11043120736072
229,7.633333333333334,141.8029022216797,153.17489624023438,332.0926451574233,55.31948872856267
230,7.666666666666667,141.807373046875,153.1800079345703,332.56636911646,55.39840094656725
231,7.7,141.81967163085938,153.1832275390625,332.91943287034695,55.45721377075478
232,7.733333333333333,141.81332397460938,153.1884002685547,333.00698495364423,55.4717980638903
233,7.766666666666667,141.81849670410156,153.19598388671875,333.0278014058995,55.47526563690853
234,7.8,141.824462890625,153.1953887939453,332.93418353979223,55.459670914880114
235,7.833333333333333,141.82318115234375,153.193359375,332.9819053684366,55.4676203446561
236,7.866666666666666,141.83920288085938,153.2107696533203,330.0081336773173,54.972253970401674
237,7.9,141.842041015625,153.20663452148438,330.20203414038906,55.004553615207946
238,7.933333333333334,141.838134765625,153.2123565673828,330.1980179257407,55.003884600268265
239,7.966666666666667,141.84446716308594,153.21182250976562,329.98801453947834,54.96890255496041
240,8.0,141.7242431640625,153.09170532226562,330.1987919560128,55.004013537056046
241,8.033333333333333,141.76925659179688,153.14173889160156,330.53395013151226,55.05984367717565
242,8.066666666666666,141.80886840820312,153.1791229248047,331.13880591478863,55.16059963540984
243,8.1,141.8275909423828,153.19595336914062,331.6774093267412,55.25031937419704
244,8.133333333333333,141.82403564453125,153.19967651367188,332.1745625753797,55.33313440769888
245,8.166666666666666,141.82225036621094,153.2030487060547,332.52329233368835,55.39122528148178
246,8.2,141.82379150390625,153.19638061523438,332.5424946668891,55.394423976998084
247,8.233333333333333,141.81924438476562,153.19432067871094,332.4213512630862,55.37424409268285
248,8.266666666666667,141.81756591796875,153.19241333007812,332.2348967973891,55.34318479081656
249,8.3,141.82064819335938,153.19546508789062,332.11139369824633,55.32261183203352
250,8.333333333333334,141.82679748535156,153.2019805908203,331.95450181696094,55.29647702060385
251,8.366666666666667,141.83033752441406,153.20608520507812,331.8212991892791,55.274288329080235
252,8.4,141.84182739257812,153.2138214111328,331.7067124807096,55.25520064910422
253,8.433333333333334,141.83529663085938,153.21035766601562,331.52760754188006,55.22536562026727
254,8.466666666666667,141.84173583984375,153.21185302734375,331.4315808256088,55.209369635635056
255,8.5,141.72503662109375,153.09567260742188,329.9926268325614,54.96967086374094
256,8.533333333333333,141.7718963623047,153.14923095703125,329.5932624313792,54.903145348009275
257,8.566666666666666,141.82083129882812,153.19337463378906,329.10502795942256,54.8218159907888
258,8.6,141.8474578857422,153.21963500976562,328.77808738056694,54.767354725444186
259,8.633333333333333,141.8507080078125,153.21998596191406,329.7625544906076,54.93134576225778
260,8.666666666666666,141.8570098876953,153.2254638671875,330.5063083386634,55.05523914928189
261,8.7,141.86012268066406,153.229736328125,330.98058593724664,55.13424359172173
262,8.733333333333333,141.85386657714844,153.22608947753906,331.31852141166485,55.1905363700794
263,8.766666666666667,141.8563690185547,153.2220916748047,331.27922453700353,55.18399035634921
264,8.8,141.83944702148438,153.20892333984375,333.2316420700791,55.509221105326574
265,8.833333333333334,141.83697509765625,153.21337890625,333.86710648136904,55.61507580235274
266,8.866666666666667,141.8422088623047,153.2143096923828,333.81519965277414,55.60642924163764
